,id,original_language,title,popularity,release_date,vote_average,vote_count
5333,80274,en,Ender's Game,4.072,2013-10-24,6.587,5881
5334,44048,en,Unstoppable,4.157,2010-11-04,6.587,3610
5335,13704,en,License to Drive,3.53,1988-07-06,6.6,369
5336,10503,en,Happy-Go-Lucky,3.532,2008-04-18,6.6,462
5337,9595,en,Hot Shots!,4.28,1991-07-31,6.6,2215
5338,2105,en,American Pie,4.375,1999-07-09,6.587,7773
5339,626412,ko,Alienoid: Return to the Future,3.595,2024-01-10,6.6,788
5340,601666,en,I Care a Lot,3.582,2021-02-19,6.585,2730
5341,554241,en,Playing with Fire,3.79,2019-11-08,6.586,703
5342,17689,en,The Gauntlet,3.531,1977-12-17,6.586,538
5343,13161,en,Big Stan,3.57,2007-11-03,6.586,921
5344,1593,en,Night at the Museum,4.41,2006-12-20,6.586,10335
5345,834,en,Underworld: Evolution,3.14,2006-01-12,6.586,4078
5346,4958,en,The Legend of Bagger Vance,3.825,2000-11-02,6.585,906
5347,253306,en,Housebound,3.784,2014-09-04,6.584,846
5348,113160,fr,My First Time,3.533,2012-01-18,6.6,531
5349,11468,en,The Salton Sea,3.531,2002-02-12,6.6,323
5350,10952,en,New Jack City,3.824,1991-03-08,6.584,532
5351,4413,en,The Brave One,3.532,2007-09-12,6.6,977
5352,157,en,Star Trek III: The Search for Spock,2.536,1984-06-01,6.6,1381
5353,547565,en,The Night House,3.546,2021-07-15,6.583,1157
5354,11430,en,The Lion King 1½,4.034,2004-02-06,6.582,2999
5355,988078,es,Through My Window: Across the Sea,4.073,2023-06-23,6.586,883
5356,760741,en,Beast,3.554,2022-08-11,6.582,1581
5357,467936,en,The Children Act,3.538,2018-08-01,6.6,614
5358,1226578,en,Longlegs,4.013,2024-07-10,6.578,1882
5359,270303,en,It Follows,5.687,2015-02-04,6.581,6461
5360,21755,en,The Brothers Bloom,3.532,2008-09-09,6.6,647
5361,19405,en,Recess: School's Out,3.531,2001-02-16,6.6,346
5362,12690,en,Appaloosa,3.538,2008-09-19,6.581,1008
5363,10939,fr,The Return of the Tall Blond Man with One Black Shoe,3.53,1974-11-12,6.6,315
5364,577,en,To Die For,3.53,1995-09-22,6.6,805
5365,11412,en,The Long Kiss Goodnight,3.567,1996-10-11,6.6,1201
5366,11300,en,Something Wild,3.53,1986-11-07,6.6,338
5367,11198,cn,City Hunter,3.53,1993-01-01,6.6,413
5368,10803,en,Logan's Run,3.78,1976-06-23,6.6,953
5369,9950,en,Find Me Guilty,3.531,2006-03-16,6.6,497
5370,632357,en,The Unholy,3.544,2021-03-31,6.6,2176
5371,413658,km,The Warriors Gate,3.536,2016-11-18,6.6,355
5372,80389,en,Get the Gringo,3.828,2012-03-15,6.579,1659
5373,36819,en,Time Bandits,4.031,1981-07-13,6.6,1028
5374,10909,en,Kalifornia,3.53,1993-06-24,6.6,791
5375,2978,en,Ghostbusters II,4.576,1989-06-16,6.579,4501
5376,667,en,You Only Live Twice,3.826,1967-06-13,6.579,2233
5377,1029955,en,Kinds of Kindness,3.9,2024-05-30,6.578,934
5378,948549,en,Love Lies Bleeding,3.888,2024-03-07,6.6,713
5379,410117,en,Lady Macbeth,3.536,2016-12-12,6.6,763
5380,206408,fr,Chinese Puzzle,4.077,2013-12-04,6.578,689
5381,12775,en,Flesh + Blood,3.53,1985-08-30,6.6,390
5382,11298,en,The Howling,3.53,1981-01-21,6.6,792
5383,614479,en,Insidious: The Red Door,3.823,2023-07-05,6.578,1735
5384,22586,en,The Swan Princess,3.53,1994-11-18,6.6,962
5385,13667,en,Better Off Dead...,3.53,1985-08-23,6.6,503
5386,10389,cn,The Eye,3.531,2002-05-09,6.6,418
5387,329712,fr,The Measure of a Man,3.828,2015-03-16,6.576,342
5388,320367,en,Return,3.552,2015-01-01,6.576,1083
5389,500840,en,I'm Thinking of Ending Things,4.043,2020-08-28,6.576,1978
5390,376166,fr,From the Land of the Moon,3.535,2016-10-19,6.6,305
5391,11521,en,Little Man Tate,3.53,1991-09-06,6.6,306
5392,9342,en,The Mask of Zorro,3.575,1998-07-16,6.575,4052
5393,588,en,Silent Hill,3.533,2006-04-21,6.575,4370
5394,736769,en,They Cloned Tyrone,3.57,2023-06-14,6.575,603
5395,511785,en,Alex Strangelove,3.537,2018-04-16,6.574,1540
5396,489927,en,The Kindergarten Teacher,3.538,2018-09-23,6.6,351
5397,64678,en,The Art of Getting By,3.533,2011-06-17,6.6,1301
